iter	RMSE
0	0.7028802606
1	0.6899062674
2	0.677842276
3	0.6668285918
4	0.6565651448
5	0.6472652628
6	0.6384963996
7	0.6306429223
8	0.6231653509
9	0.6164575373
10	0.6098890042
11	0.6039747984
12	0.5987226498
13	0.5936419507
14	0.5891006058
15	0.5847517595
16	0.5807470073
17	0.5771260636
18	0.5737171845
19	0.5705200161
20	0.5678005553
21	0.5651449791
22	0.5628415371
23	0.560745799
24	0.5585792379
25	0.5565632829
26	0.5546882074
27	0.5529161565
28	0.5513511077
29	0.5497666892
30	0.548270472
31	0.5472355782
32	0.5458800612
33	0.5447290878
34	0.5436486473
35	0.542549621
36	0.5415053182
37	0.5403001387
38	0.5392693341
39	0.5384055091
40	0.5372659451
41	0.5364062968
42	0.5356045334
43	0.5347695668
44	0.5340050084
45	0.5332693943
46	0.532592672
47	0.5319711905
48	0.531336171
49	0.5306881975
50	0.5298607628
51	0.5291983996
52	0.5284493384
53	0.527863697
54	0.5272080408
55	0.5265811218
56	0.5260485342
57	0.5255755932
58	0.5252280397
59	0.5248129706
60	0.5242194012
61	0.5237452306
62	0.5232966629
63	0.5225799303
64	0.5220671215
65	0.5216955336
66	0.5213392232
67	0.5206816542
68	0.5199529216
69	0.5194249858
70	0.5191161377
71	0.5187188739
72	0.5184886381
73	0.5179901267
74	0.5172989217
75	0.5168811559
76	0.5164472864
77	0.5161933446
78	0.5156461046
79	0.5151876049
80	0.5146847321
81	0.5140873944
82	0.5137869301
83	0.5133404643
84	0.5130182982
85	0.5126825621
86	0.5124577091
87	0.5120291675
88	0.5117429476
89	0.5114347324
90	0.5112296951
91	0.5107634294
92	0.5105372002
93	0.5101505749
94	0.5098263948
95	0.5094657207
96	0.5091312826
97	0.5087598045
98	0.5084843233
99	0.5081425486
100	0.5078302745
101	0.5075877025
102	0.5071057627
103	0.5068210279
104	0.5066707069
105	0.5063071569
106	0.5061106513
107	0.5059561283
108	0.5055928467
109	0.5053294295
110	0.5050849661
111	0.5048882541
112	0.5045955325
113	0.5041746508
114	0.504031764
115	0.503686412
116	0.5033988489
117	0.5031325701
118	0.5027164135
119	0.5025435042
120	0.5024110796
121	0.5022323099
122	0.5020664025
123	0.5018520553
124	0.5014991771
125	0.50122857
126	0.5009962281
127	0.5008243974
128	0.5006271856
129	0.5003810939
130	0.5001546018
131	0.4999955672
132	0.4998116795
133	0.4995481281
134	0.4992726311
135	0.4990843954
136	0.4988465024
137	0.4985371735
138	0.4984358844
139	0.4982618423
140	0.4979764525
141	0.4978092713
142	0.4975922779
143	0.4974060162
144	0.4971952421
145	0.4969898176
146	0.4968941974
147	0.4967872896
148	0.4964649678
149	0.4962925503
150	0.4961405154
151	0.495954996
152	0.4958948974
153	0.4957922793
154	0.4955337345
155	0.4953312735
156	0.4951106116
157	0.494932149
158	0.4947793337
159	0.4946996178
160	0.4944760681
161	0.4943855666
162	0.4941589783
163	0.4939842461
164	0.4938441805
165	0.4936165812
166	0.4934168896
167	0.4932138697
168	0.4931156638
169	0.4929289963
170	0.4926025214
171	0.4923554306
172	0.4922045685
173	0.4919836457
174	0.4917231394
175	0.491578039
176	0.4914133098
177	0.491154482
178	0.4910228746
179	0.4908851235
180	0.490817813
181	0.4906762344
182	0.4905807968
183	0.4903472072
184	0.4902337473
185	0.4899959323
186	0.4897240265
187	0.4895519526
188	0.4894718962
189	0.489344096
190	0.4891889106
191	0.4889183769
192	0.4887700821
193	0.4885448941
194	0.4884198055
195	0.488346205
196	0.4881678487
197	0.4880139872
198	0.4878886076
199	0.4876436274
200	0.4874759195
201	0.487287745
202	0.487152362
203	0.4869995109
204	0.4868623185
205	0.4866276645
206	0.4864510739
207	0.4862945877
208	0.4861138321
209	0.4859394922
210	0.4858259915
211	0.4856451986
212	0.4854522887
213	0.4853005341
214	0.485147323
215	0.4850158198
216	0.4848941151
217	0.4847731932
218	0.4845142157
219	0.4843478915
220	0.4842557235
221	0.4841056395
222	0.483974933
223	0.4838164609
224	0.4836673114
225	0.4835864985
226	0.483340676
227	0.4831396152
228	0.4830147705
229	0.4828926859
230	0.4827653879
231	0.4826301285
232	0.4825112639
233	0.4823480305
234	0.4822167705
235	0.4820962081
236	0.4819592318
237	0.4818052305
238	0.4816881262
239	0.4815655212
240	0.4814566945
241	0.4813516551
242	0.48112453
243	0.4808615397
244	0.4807281986
245	0.4805773123
246	0.4804413643
247	0.4803252469
248	0.4801825874
249	0.4800382074
250	0.4798929851
251	0.4797529156
252	0.4796095688
253	0.4794886107
254	0.4793550897
255	0.4792357743
256	0.4791249396
257	0.479022147
258	0.4788773561
259	0.4787683985
260	0.4786373423
261	0.478535862
262	0.478382224
263	0.4782574343
264	0.4781787075
265	0.4780286019
266	0.4779074448
267	0.4778024621
268	0.4776645227
269	0.4775673265
270	0.4774360809
271	0.4772838769
272	0.4771808498
273	0.4770541591
274	0.4769669212
275	0.4768620473
276	0.4767200324
277	0.4765773692
278	0.4765016668
279	0.4762327962
280	0.476098957
281	0.4759617391
282	0.4758131461
283	0.4756804564
284	0.4755464672
285	0.4754515919
286	0.4753754645
287	0.47528306
288	0.4751585513
289	0.475054672
290	0.4749198594
291	0.4748226794
292	0.4747304869
293	0.474625204
294	0.4745185734
295	0.4744184323
296	0.4742962591
297	0.4742183849
298	0.474122611
299	0.4738782877
300	0.4737962966
301	0.4736775159
302	0.4735816001
303	0.4734776328
304	0.4733721107
305	0.4733099754
306	0.4732144542
307	0.4730936874
308	0.472964911
309	0.4728021261
310	0.4727047564
311	0.4724853609
312	0.4724083214
313	0.4722955203
314	0.4722338718
315	0.4721490901
316	0.4720778675
317	0.4720404302
318	0.4719243426
319	0.4718194375
320	0.4717480697
321	0.4716770445
322	0.4715471294
323	0.4714928481
324	0.4714580609
325	0.4714027551
326	0.4713439882
327	0.4712279494
328	0.4711568387
329	0.4710963332
330	0.4710385744
331	0.4709571766
332	0.4708708426
