iter	Passed	Remaining
0	42	42274
1	80	39947
2	119	39562
3	155	38800
4	190	37968
5	226	37457
6	261	37077
7	297	36888
8	333	36754
9	369	36540
10	407	36641
11	443	36526
12	479	36429
13	517	36436
14	558	36643
15	594	36534
16	629	36415
17	665	36293
18	701	36218
19	736	36069
20	771	35985
21	807	35892
22	843	35812
23	882	35908
24	927	36168
25	974	36507
26	1017	36668
27	1051	36498
28	1087	36415
29	1122	36278
30	1157	36172
31	1191	36042
32	1227	35983
33	1262	35866
34	1299	35817
35	1335	35763
36	1372	35716
37	1408	35655
38	1447	35657
39	1483	35608
40	1521	35598
41	1556	35500
42	1592	35435
43	1626	35331
44	1661	35251
45	1694	35142
46	1727	35023
47	1760	34913
48	1796	34862
49	1877	35674
50	1917	35681
51	1952	35594
52	1990	35572
53	2028	35532
54	2073	35623
55	2117	35699
56	2163	35787
57	2196	35677
58	2230	35579
59	2264	35472
60	2304	35475
61	2341	35425
62	2377	35356
63	2415	35330
64	2449	35240
65	2483	35149
66	2520	35105
67	2557	35056
68	2594	35013
69	2633	34988
70	2666	34892
71	2701	34823
72	2736	34748
73	2773	34704
74	2811	34672
75	2848	34626
76	2885	34585
77	2922	34547
78	2959	34496
79	2998	34477
80	3034	34428
81	3070	34380
82	3107	34334
83	3145	34302
84	3185	34288
85	3229	34318
86	3269	34313
87	3312	34325
88	3348	34273
89	3386	34241
90	3420	34168
91	3455	34099
92	3488	34023
93	3526	33988
94	3564	33952
95	3599	33896
96	3636	33852
97	3674	33817
98	3713	33797
99	3749	33743
100	3784	33684
101	3821	33644
102	3859	33614
103	3897	33575
104	3933	33531
105	3973	33514
106	4012	33488
107	4043	33397
108	4083	33377
109	4120	33334
110	4156	33288
111	4193	33250
112	4230	33206
113	4267	33166
114	4305	33133
115	4346	33126
116	4390	33134
117	4435	33153
118	4478	33153
119	4513	33097
120	4548	33040
121	4585	32996
122	4620	32947
123	4657	32904
124	4693	32851
125	4729	32804
126	4766	32765
127	4805	32739
128	4842	32697
129	4879	32654
130	4916	32614
131	4953	32571
132	4988	32518
133	5024	32470
134	5061	32429
135	5099	32397
136	5135	32348
137	5172	32307
138	5213	32292
139	5246	32227
140	5282	32181
141	5317	32132
142	5353	32083
143	5393	32058
144	5433	32036
145	5472	32012
146	5513	31992
147	5556	31988
148	5602	31995
149	5640	31962
150	5673	31898
151	5709	31855
152	5745	31807
153	5779	31752
154	5816	31711
155	5853	31669
156	5890	31630
157	5927	31586
158	5965	31551
159	6002	31514
160	6040	31477
161	6073	31419
162	6113	31390
163	6152	31362
164	6187	31310
165	6225	31277
166	6264	31247
167	6303	31216
168	6340	31178
169	6378	31140
170	6415	31103
171	6451	31058
172	6490	31029
173	6529	30996
174	6566	30956
175	6603	30915
176	6643	30891
177	6686	30877
178	6729	30863
179	6769	30836
180	6805	30795
181	6842	30755
182	6878	30709
183	6915	30670
184	6952	30629
185	6991	30595
186	7027	30551
187	7063	30508
188	7098	30458
189	7133	30411
190	7168	30362
191	7205	30324
192	7242	30284
193	7281	30249
194	7318	30213
195	7356	30178
196	7396	30151
197	7435	30116
198	7473	30082
199	7506	30027
200	7544	29990
201	7582	29954
202	7622	29925
203	7660	29889
204	7695	29844
205	7735	29814
206	7775	29788
207	7819	29774
208	7862	29757
209	7903	29731
210	7940	29693
211	7977	29652
212	8014	29611
213	8052	29574
214	8088	29531
215	8125	29490
216	8161	29448
217	8197	29405
218	8234	29366
219	8271	29326
220	8308	29287
221	8344	29244
222	8382	29207
223	8419	29168
224	8456	29126
225	8492	29086
226	8531	29050
227	8568	29012
228	8605	28973
229	8642	28932
230	8678	28890
231	8713	28844
232	8750	28806
233	8787	28765
234	8825	28730
235	8864	28695
236	8902	28659
237	8942	28630
238	8984	28608
239	9024	28577
240	9065	28551
241	9102	28512
242	9139	28472
243	9176	28431
244	9216	28403
245	9254	28363
246	9290	28324
247	9328	28287
248	9364	28244
249	9406	28218
250	9442	28177
251	9481	28144
252	9518	28104
253	9554	28062
254	9591	28023
255	9632	27995
256	9670	27957
257	9706	27916
258	9743	27876
259	9780	27837
260	9816	27794
261	9853	27755
262	9889	27712
